,name,address,Website,Type,Size,city,state,zipcode,associates,Profit,Sector
393,Central State University,"1400 Brush Row Rd, Wilberforce, Ohio 45384-1004",www.centralstate.edu,"4-year, Public",2171.0, Wilberforce,Ohio,45384-1004,0,Not-For-Profit,Private
394,Central Washington University,"400 East University Way, Ellensburg, Washington 98926-7501",www.cwu.edu,"4-year, Public",10662.0, Ellensburg,Washington,98926-7501,0,Not-For-Profit,Private
395,Centre College,"600 W Walnut St, Danville, Kentucky 40422-1394",www.centre.edu,"4-year, Private not-for-profit",1197.0, Danville,Kentucky,40422-1394,0,Not-For-Profit,Private
396,Centura College,"2697 Dean Drive, Ste 100, Virginia Beach, Virginia 23452-7431",centuracollege.edu,"4-year, primarily associate's, Private for-profit",1277.0, Virginia Beach,Virginia,23452-7431,1,For-Profit,Private
397,Chadron State College,"1000 Main St, Chadron, Nebraska 69337-2690",www.csc.edu,"4-year, Public",2649.0, Chadron,Nebraska,69337-2690,0,Not-For-Profit,Private
398,Chamberlain College of Nursing (Columbus Campus),"1350 Alum Creek Dr, Columbus, Ohio 43209",www.chamberlain.edu,"4-year, Private for-profit",632.0, Columbus,Ohio,43209,0,For-Profit,Private
399,Chamberlain College of Nursing (Phoenix Campus),"2149 West Dunlap Ave, Phoenix, Arizona 85021",www.chamberlain.edu,"4-year, primarily associate's, Private for-profit",119.0, Phoenix,Arizona,85021,1,For-Profit,Private
400,Chamberlain College of Nursing (St. Louis Campus),"6150 Oakland Ave, Saint Louis, Missouri 63139",www.chamberlain.edu,"4-year, Private for-profit",2208.0, Saint Louis,Missouri,63139,0,For-Profit,Private
401,Chaminade University of Honolulu,"3140 Waialae Avenue, Honolulu, Hawaii 96816-1578",www.chaminade.edu,"4-year, Private not-for-profit",2688.0, Honolulu,Hawaii,96816-1578,0,Not-For-Profit,Private
402,Champlain College,"163 S. Willard St, Burlington, Vermont 05401",www.champlain.edu,"4-year, Private not-for-profit",2891.0, Burlington,Vermont,05401,0,Not-For-Profit,Private
403,Chancellor University,"3921 Chester Avenue, Cleveland, Ohio 44114",www.myers.edu,"4-year, Private for-profit",422.0, Cleveland,Ohio,44114,0,For-Profit,Private
404,Chapman University,"One University Dr., Orange, California 92866",www.chapman.edu,"4-year, Private not-for-profit",6128.0, Orange,California,92866,0,Not-For-Profit,Private
405,Chapman University-University College,"One University Dr, Orange, California 92866",www.chapman.edu/univcoll/,"4-year, Private not-for-profit",6067.0, Orange,California,92866,0,Not-For-Profit,Private
406,Charles Drew University of Medicine and Science,"1731 E 120th St, Los Angeles, California 90059",www.cdrewu.edu,"4-year, primarily associate's, Private not-for-profit",255.0, Los Angeles,California,90059,1,Not-For-Profit,Private
407,Charleston Southern University,"9200 University Blvd, Charleston, South Carolina 29410-8087",www.csuniv.edu,"4-year, Private not-for-profit",3200.0, Charleston,South,Carolina 29410-8087,0,Not-For-Profit,Private
408,Charter College,"2221 E Northern Lights Blvd Ste 120, Anchorage, Alaska 99508",www.chartercollege.edu,"4-year, primarily associate's, Private for-profit",747.0, Anchorage,Alaska,99508,1,For-Profit,Private
409,Charter Oak State College,"55 Paul J Manafort Dr, New Britain, Connecticut 06053-2142",www.cosc.edu,"4-year, Public",1988.0, New Britain,Connecticut,06053-2142,0,Not-For-Profit,Private
410,Chatham University,"Woodland Rd, Pittsburgh, Pennsylvania 15232",www.chatham.edu,"4-year, Private not-for-profit",2184.0, Pittsburgh,Pennsylvania,15232,0,Not-For-Profit,Private
411,Chester College of New England,"40 Chester St, Chester, New Hampshire 03036-4331",www.chestercollege.edu,"4-year, Private not-for-profit",211.0, Chester,New,Hampshire 03036-4331,0,Not-For-Profit,Private
412,Chestnut Hill College,"9601 Germantown Ave, Philadelphia, Pennsylvania 19118-2693",www.chc.edu,"4-year, Private not-for-profit",2085.0, Philadelphia,Pennsylvania,19118-2693,0,Not-For-Profit,Private
413,Cheyney University of Pennsylvania,"1837 University Circle, Cheyney, Pennsylvania 19319-0200",www.cheyney.edu,"4-year, Public",1488.0, Cheyney,Pennsylvania,19319-0200,0,Not-For-Profit,Private
414,Chicago School of Professional Psychology,"325 N Wells Street, Chicago, Illinois 60654",www.thechicagoschool.edu,"4-year, Private not-for-profit",1925.0, Chicago,Illinois,60654,0,Not-For-Profit,Private
415,Chicago State University,"9501 S. King Drive, Chicago, Illinois 60628-1598",www.csu.edu,"4-year, Public",6820.0, Chicago,Illinois,60628-1598,0,Not-For-Profit,Private
416,Chicago Theological Seminary,"5757 University Ave, Chicago, Illinois 60637",www.ctschicago.edu,"4-year, Private not-for-profit",210.0, Chicago,Illinois,60637,0,Not-For-Profit,Private
417,Chipola College,"3094 Indian Circle, Marianna, Florida 32446-2053",www.chipola.edu,"4-year, primarily associate's, Public",2305.0, Marianna,Florida,32446-2053,1,Not-For-Profit,Private
418,Chowan University,"One University Place, Murfreesboro, North Carolina 27855",www.chowan.edu/,"4-year, Private not-for-profit",952.0, Murfreesboro,North,Carolina 27855,0,Not-For-Profit,Private
